
7-12-2022 2:16:38,disturber,63
7-12-2022 2:16:39,disturber,63
7-12-2022 2:16:39,disturber,63
7-12-2022 2:16:40,disturber,63
7-12-2022 2:16:41,disturber,63
7-12-2022 2:16:41,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:44,disturber,63
7-12-2022 2:16:44,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:46,disturber,63
7-12-2022 2:16:47,disturber,63
7-12-2022 2:18:29,disturber,63
7-12-2022 2:18:39,disturber,63
7-12-2022 2:18:40,disturber,63
8-12-2022 15:49:32,75.8,101939.0,29.0
8-12-2022 15:49:47,75.5,101939.0,29.0
8-12-2022 15:50:2,75.4,101943.0,29.0
8-12-2022 15:50:17,75.2,101936.0,30.0
8-12-2022 15:50:32,75.1,101951.0,29.0
8-12-2022 15:50:47,74.9,101934.0,30.0
8-12-2022 15:51:2,74.8,101937.0,30.0
8-12-2022 15:51:17,74.7,101935.0,30.0
8-12-2022 15:51:32,74.7,101936.0,30.0
8-12-2022 15:51:47,74.6,101941.0,30.0
8-12-2022 15:52:2,74.5,101939.0,30.0
8-12-2022 15:52:17,74.5,101939.0,30.0
8-12-2022 15:52:32,74.5,101939.0,30.0
8-12-2022 15:52:47,74.5,101939.0,30.0
8-12-2022 15:53:2,74.4,101934.0,30.0
8-12-2022 15:53:17,74.4,101939.0,30.0
8-12-2022 15:53:32,74.3,101930.0,30.0
8-12-2022 15:53:47,74.3,101931.0,30.0
8-12-2022 15:54:2,74.3,101932.0,30.0
8-12-2022 15:54:17,74.3,101942.0,30.0
8-12-2022 15:54:32,74.3,101927.0,30.0
8-12-2022 15:54:47,74.3,101947.0,31.0
8-12-2022 15:55:2,74.2,101930.0,31.0
8-12-2022 15:55:17,74.1,101932.0,31.0
8-12-2022 15:55:32,74.0,101929.0,31.0
8-12-2022 15:55:47,74.0,101926.0,31.0
8-12-2022 15:56:3,73.9,101929.0,31.0
8-12-2022 15:56:18,73.9,101927.0,31.0
8-12-2022 15:56:33,73.8,101919.0,31.0
8-12-2022 15:56:48,73.7,101932.0,31.0
8-12-2022 15:57:3,73.7,101928.0,31.0
8-12-2022 15:57:18,73.6,101924.0,31.0
8-12-2022 15:57:33,73.6,101927.0,31.0
8-12-2022 15:57:48,73.6,101924.0,31.0
8-12-2022 15:58:3,73.6,101930.0,31.0
8-12-2022 15:58:18,73.6,101920.0,31.0
8-12-2022 15:58:33,73.5,101927.0,31.0
8-12-2022 15:58:48,73.5,101927.0,31.0
8-12-2022 15:59:3,73.5,101929.0,31.0
8-12-2022 15:59:18,73.5,101919.0,31.0
8-12-2022 15:59:33,73.5,101932.0,31.0
8-12-2022 15:59:48,73.5,101928.0,31.0
8-12-2022 16:0:3,73.5,101932.0,31.0
8-12-2022 16:0:18,73.4,101938.0,31.0
8-12-2022 16:0:33,73.4,101925.0,31.0
8-12-2022 16:0:48,73.4,101933.0,31.0
8-12-2022 16:1:3,73.4,101936.0,31.0
8-12-2022 16:1:18,73.5,101932.0,31.0
8-12-2022 16:1:33,73.5,101937.0,31.0
8-12-2022 16:1:48,73.5,101923.0,31.0
8-12-2022 16:2:3,73.5,101932.0,31.0
8-12-2022 16:2:18,73.5,101935.0,31.0
8-12-2022 16:2:33,73.4,101928.0,31.0
8-12-2022 16:2:48,73.4,101932.0,32.0
8-12-2022 16:3:3,73.4,101937.0,31.0
8-12-2022 16:3:18,73.3,101939.0,32.0
8-12-2022 16:3:33,73.3,101930.0,32.0
8-12-2022 16:3:48,73.3,101936.0,31.0
8-12-2022 16:4:3,73.3,101932.0,32.0
8-12-2022 16:4:18,73.3,101935.0,31.0
8-12-2022 16:4:33,73.2,101933.0,32.0
8-12-2022 16:4:48,73.2,101934.0,32.0
8-12-2022 16:5:3,73.2,101933.0,32.0
8-12-2022 16:5:18,73.2,101938.0,32.0
8-12-2022 16:5:33,73.1,101935.0,32.0
8-12-2022 16:5:48,73.1,101943.0,32.0
8-12-2022 16:6:3,73.1,101935.0,32.0
8-12-2022 16:6:18,73.2,101932.0,32.0
8-12-2022 16:6:33,73.2,101938.0,32.0
8-12-2022 16:6:48,73.2,101935.0,32.0
8-12-2022 16:7:3,73.2,101946.0,32.0
8-12-2022 16:7:18,73.2,101938.0,32.0
8-12-2022 16:7:33,73.2,101941.0,32.0
8-12-2022 16:7:48,73.2,101940.0,34.0
8-12-2022 16:8:3,73.2,101936.0,32.0
8-12-2022 16:8:18,73.2,101939.0,31.0
8-12-2022 16:8:33,73.3,101935.0,32.0
8-12-2022 16:8:48,73.3,101941.0,32.0
8-12-2022 16:9:3,73.3,101940.0,32.0
8-12-2022 16:9:18,73.3,101934.0,32.0
8-12-2022 16:9:33,73.3,101941.0,32.0
8-12-2022 16:9:48,73.3,101936.0,32.0
8-12-2022 16:10:3,73.3,101931.0,32.0
8-12-2022 16:10:18,73.3,101936.0,32.0
8-12-2022 16:10:33,73.3,101933.0,32.0
8-12-2022 16:10:48,73.3,101932.0,32.0
8-12-2022 16:11:3,73.4,101937.0,32.0
8-12-2022 16:11:18,73.4,101939.0,32.0
8-12-2022 16:11:33,73.4,101935.0,32.0
8-12-2022 16:11:49,73.5,101938.0,32.0
8-12-2022 16:12:4,73.5,101934.0,32.0
8-12-2022 16:12:19,73.6,101933.0,32.0
8-12-2022 16:12:34,73.6,101935.0,32.0
8-12-2022 16:12:49,73.6,101933.0,32.0
8-12-2022 16:13:4,73.6,101935.0,32.0
8-12-2022 16:13:19,73.7,101938.0,33.0
8-12-2022 16:13:34,73.6,101934.0,31.0
8-12-2022 16:13:49,73.6,101944.0,32.0
8-12-2022 16:14:4,73.5,101940.0,32.0
8-12-2022 16:14:19,73.5,101941.0,32.0
8-12-2022 16:14:34,73.4,101936.0,32.0
8-12-2022 16:14:49,73.4,101941.0,32.0
8-12-2022 16:15:4,73.4,101949.0,32.0
8-12-2022 16:15:19,73.4,101937.0,32.0
8-12-2022 16:15:34,73.4,101940.0,32.0
8-12-2022 16:15:49,73.3,101946.0,32.0
8-12-2022 16:16:4,73.3,101946.0,32.0
8-12-2022 16:16:19,73.3,101939.0,32.0
8-12-2022 16:16:34,73.3,101947.0,32.0
8-12-2022 16:16:49,73.3,101937.0,32.0
8-12-2022 16:17:4,73.3,101945.0,32.0
8-12-2022 16:17:19,73.3,101941.0,32.0
8-12-2022 16:17:34,73.3,101939.0,32.0
8-12-2022 16:17:49,73.3,101942.0,32.0
8-12-2022 16:18:4,73.3,101942.0,32.0
8-12-2022 16:18:19,73.3,101932.0,32.0
8-12-2022 16:18:34,73.3,101940.0,32.0
8-12-2022 16:18:49,73.3,101938.0,32.0
8-12-2022 16:19:4,73.2,101939.0,32.0
8-12-2022 16:19:19,73.2,101943.0,32.0
8-12-2022 16:19:34,73.2,101939.0,32.0
8-12-2022 16:19:49,73.2,101941.0,32.0
8-12-2022 16:20:4,73.2,101937.0,32.0
8-12-2022 16:20:19,73.2,101942.0,32.0
8-12-2022 16:20:34,73.1,101939.0,32.0
8-12-2022 16:20:49,73.1,101935.0,32.0
8-12-2022 16:21:4,73.1,101933.0,32.0
8-12-2022 16:21:19,73.1,101940.0,32.0
8-12-2022 16:21:34,73.1,101940.0,32.0
8-12-2022 16:21:49,73.1,101940.0,32.0
8-12-2022 16:22:4,73.0,101940.0,32.0
8-12-2022 16:22:19,73.0,101939.0,32.0
8-12-2022 16:22:34,73.0,101940.0,32.0
8-12-2022 16:22:49,73.0,101939.0,32.0
8-12-2022 16:23:4,73.1,101945.0,32.0
8-12-2022 16:23:19,73.1,101950.0,32.0
8-12-2022 16:23:34,73.1,101945.0,32.0
8-12-2022 16:23:49,73.2,101946.0,33.0
8-12-2022 16:24:4,73.2,101939.0,32.0
8-12-2022 16:24:19,73.2,101940.0,32.0
8-12-2022 16:24:34,73.2,101946.0,32.0
8-12-2022 16:24:49,73.2,101949.0,33.0
8-12-2022 16:25:4,73.2,101935.0,32.0
8-12-2022 16:25:19,73.2,101945.0,32.0
8-12-2022 16:25:34,73.2,101945.0,32.0
8-12-2022 16:25:49,73.2,101945.0,32.0
8-12-2022 16:26:4,73.2,101941.0,32.0
8-12-2022 16:26:19,73.2,101946.0,32.0
8-12-2022 16:26:34,73.3,101944.0,32.0
8-12-2022 16:26:49,73.3,101936.0,32.0
8-12-2022 16:27:4,73.3,101944.0,32.0
8-12-2022 16:27:19,73.3,101942.0,32.0
8-12-2022 16:27:34,73.3,101938.0,32.0
8-12-2022 16:27:50,73.3,101942.0,32.0
8-12-2022 16:28:5,73.3,101941.0,32.0
8-12-2022 16:28:20,73.3,101949.0,32.0
8-12-2022 16:28:35,73.3,101945.0,32.0
8-12-2022 16:28:50,73.3,101951.0,32.0
8-12-2022 16:29:5,73.3,101948.0,32.0
8-12-2022 16:29:20,73.2,101952.0,32.0
8-12-2022 16:29:35,73.2,101937.0,32.0
8-12-2022 16:29:50,73.2,101946.0,32.0
8-12-2022 16:30:5,73.2,101949.0,32.0
8-12-2022 16:30:20,73.2,101945.0,32.0
8-12-2022 16:30:35,73.2,101950.0,33.0
8-12-2022 16:30:50,73.2,101945.0,32.0
8-12-2022 16:31:5,73.2,101947.0,32.0
8-12-2022 16:31:20,73.2,101944.0,32.0
8-12-2022 16:31:35,73.2,101945.0,32.0
8-12-2022 16:31:50,73.2,101947.0,32.0
8-12-2022 16:32:5,73.3,101946.0,32.0
8-12-2022 16:32:20,73.3,101949.0,32.0
8-12-2022 16:32:35,73.3,101949.0,32.0
8-12-2022 16:32:50,73.3,101952.0,32.0
8-12-2022 16:33:5,73.3,101952.0,32.0
8-12-2022 16:33:20,73.3,101943.0,32.0
8-12-2022 16:33:35,73.2,101949.0,32.0
8-12-2022 16:33:50,73.2,101943.0,32.0
8-12-2022 16:34:5,73.2,101943.0,32.0
8-12-2022 16:34:20,73.2,101938.0,32.0
8-12-2022 16:34:35,73.2,101936.0,32.0
8-12-2022 16:34:50,73.2,101942.0,32.0
8-12-2022 16:35:5,73.3,101945.0,36.0
8-12-2022 16:35:20,73.3,101940.0,32.0
8-12-2022 16:35:35,73.3,101944.0,32.0
8-12-2022 16:35:50,73.2,101936.0,32.0
8-12-2022 16:36:5,73.2,101938.0,32.0
8-12-2022 16:36:20,73.1,101943.0,32.0
8-12-2022 16:36:35,73.1,101928.0,32.0
8-12-2022 16:36:50,73.1,101943.0,33.0
8-12-2022 16:37:5,73.1,101937.0,32.0
8-12-2022 16:37:20,73.0,101938.0,32.0
8-12-2022 16:37:35,73.1,101936.0,32.0
8-12-2022 16:37:50,73.0,101932.0,32.0
8-12-2022 16:38:5,73.0,101931.0,32.0
8-12-2022 16:38:20,73.0,101938.0,32.0
8-12-2022 16:38:35,73.0,101934.0,32.0
8-12-2022 16:38:50,73.0,101939.0,32.0
8-12-2022 16:39:5,72.9,101932.0,33.0
8-12-2022 16:39:20,72.9,101934.0,33.0
8-12-2022 16:39:35,72.9,101935.0,33.0
8-12-2022 16:39:50,72.9,101930.0,32.0
8-12-2022 16:40:5,73.0,101938.0,33.0
8-12-2022 16:40:20,73.0,101931.0,33.0
8-12-2022 16:40:35,72.9,101933.0,32.0
8-12-2022 16:40:50,72.9,101940.0,32.0
8-12-2022 16:41:5,72.9,101930.0,32.0
8-12-2022 16:41:20,72.9,101935.0,32.0
8-12-2022 16:41:35,72.9,101936.0,33.0
8-12-2022 16:41:50,72.9,101926.0,33.0
8-12-2022 16:42:5,72.8,101934.0,33.0
8-12-2022 16:42:20,72.8,101932.0,33.0
8-12-2022 16:42:35,72.9,101936.0,33.0
8-12-2022 16:42:50,72.8,101934.0,33.0
8-12-2022 16:43:5,72.8,101937.0,33.0
8-12-2022 16:43:20,72.8,101931.0,33.0
8-12-2022 16:43:36,72.9,101932.0,33.0
8-12-2022 16:43:51,72.9,101935.0,32.0
8-12-2022 16:44:6,72.8,101945.0,33.0
8-12-2022 16:44:21,72.8,101934.0,33.0
8-12-2022 16:44:36,72.8,101932.0,33.0
8-12-2022 16:44:51,72.8,101941.0,33.0
8-12-2022 16:45:6,72.8,101937.0,33.0
8-12-2022 16:45:21,72.8,101935.0,33.0
8-12-2022 16:45:36,72.8,101939.0,32.0
8-12-2022 16:45:51,72.8,101944.0,32.0
8-12-2022 16:46:6,72.8,101941.0,33.0
8-12-2022 16:46:21,72.8,101939.0,33.0
8-12-2022 16:46:36,72.9,101938.0,33.0
8-12-2022 16:46:51,72.8,101935.0,32.0
8-12-2022 16:47:6,72.8,101939.0,32.0
8-12-2022 16:47:21,72.8,101943.0,33.0
8-12-2022 16:47:36,72.7,101935.0,32.0
8-12-2022 16:47:51,72.7,101935.0,33.0
8-12-2022 16:48:6,72.7,101943.0,33.0
8-12-2022 16:48:21,72.8,101940.0,33.0
8-12-2022 16:48:36,72.8,101945.0,33.0
8-12-2022 16:48:51,72.8,101943.0,33.0
8-12-2022 16:49:6,72.8,101946.0,33.0
8-12-2022 16:49:21,72.8,101941.0,33.0
8-12-2022 16:49:36,72.8,101953.0,32.0
8-12-2022 16:49:51,72.8,101948.0,33.0
8-12-2022 16:50:6,72.8,101943.0,33.0
8-12-2022 16:50:21,72.8,101945.0,33.0
8-12-2022 16:50:36,72.8,101943.0,33.0
8-12-2022 16:50:51,72.8,101941.0,34.0
8-12-2022 16:51:6,72.8,101945.0,33.0
8-12-2022 16:51:21,72.8,101945.0,33.0
8-12-2022 16:51:36,72.8,101943.0,33.0
8-12-2022 16:51:51,72.8,101940.0,33.0
8-12-2022 16:52:6,72.8,101945.0,33.0
8-12-2022 16:52:21,72.8,101943.0,33.0
8-12-2022 16:52:36,72.9,101947.0,33.0
8-12-2022 16:52:51,72.9,101949.0,33.0
8-12-2022 16:53:6,72.9,101951.0,33.0
8-12-2022 16:53:21,72.9,101944.0,33.0
8-12-2022 16:53:36,72.9,101946.0,33.0
8-12-2022 16:53:51,72.9,101946.0,32.0
8-12-2022 16:54:6,73.0,101943.0,33.0
8-12-2022 16:54:21,73.0,101947.0,32.0
8-12-2022 16:54:36,73.0,101936.0,33.0
8-12-2022 16:54:51,73.0,101943.0,32.0
8-12-2022 16:55:6,73.0,101942.0,33.0
8-12-2022 16:55:21,73.0,101950.0,33.0
8-12-2022 16:55:36,73.0,101950.0,34.0
8-12-2022 16:55:51,73.0,101950.0,33.0
8-12-2022 16:56:6,73.0,101953.0,32.0
8-12-2022 16:56:21,73.0,101949.0,32.0
8-12-2022 16:56:36,73.0,101953.0,32.0
8-12-2022 16:56:51,73.0,101954.0,33.0
8-12-2022 16:57:6,73.0,101949.0,32.0
8-12-2022 16:57:21,73.0,101959.0,33.0
8-12-2022 16:57:36,72.9,101947.0,33.0
8-12-2022 16:57:51,72.9,101953.0,33.0
8-12-2022 16:58:6,72.9,101943.0,32.0
8-12-2022 16:58:21,72.9,101956.0,32.0
8-12-2022 16:58:36,72.9,101953.0,32.0
8-12-2022 16:58:51,72.9,101951.0,32.0
8-12-2022 16:59:6,72.9,101946.0,32.0
8-12-2022 16:59:22,72.9,101954.0,32.0
8-12-2022 16:59:37,72.9,101952.0,32.0
8-12-2022 16:59:52,72.8,101944.0,33.0
8-12-2022 17:0:7,72.8,101954.0,33.0
8-12-2022 17:0:22,72.9,101949.0,32.0
8-12-2022 17:0:37,72.9,101952.0,32.0
8-12-2022 17:0:52,72.9,101951.0,32.0
8-12-2022 17:1:7,72.8,101948.0,32.0
8-12-2022 17:1:22,72.8,101951.0,32.0
8-12-2022 17:1:37,72.8,101951.0,32.0
8-12-2022 17:1:52,72.8,101950.0,32.0
8-12-2022 17:2:7,72.8,101945.0,32.0
8-12-2022 17:2:22,72.8,101953.0,33.0
8-12-2022 17:2:37,72.8,101953.0,33.0
8-12-2022 17:2:52,72.8,101955.0,33.0
8-12-2022 17:3:7,72.8,101951.0,32.0
8-12-2022 17:3:22,72.7,101954.0,33.0
8-12-2022 17:3:37,72.7,101951.0,32.0
8-12-2022 17:3:52,72.7,101953.0,33.0
8-12-2022 17:4:7,72.8,101953.0,33.0
8-12-2022 17:4:22,72.7,101950.0,32.0
8-12-2022 17:4:37,72.7,101954.0,32.0
8-12-2022 17:4:52,72.7,101952.0,32.0
8-12-2022 17:5:7,72.7,101956.0,33.0
8-12-2022 17:5:22,72.7,101945.0,33.0
8-12-2022 17:5:37,72.6,101949.0,33.0
8-12-2022 17:5:52,72.7,101958.0,33.0
8-12-2022 17:6:7,72.7,101956.0,33.0
8-12-2022 17:6:22,72.7,101957.0,33.0
8-12-2022 17:6:37,72.8,101957.0,33.0
8-12-2022 17:6:52,72.8,101949.0,33.0
8-12-2022 17:7:7,72.8,101961.0,33.0
8-12-2022 17:7:22,72.7,101950.0,33.0
8-12-2022 17:7:37,72.7,101957.0,33.0
8-12-2022 17:7:52,72.7,101953.0,32.0
8-12-2022 17:8:7,72.7,101957.0,33.0
8-12-2022 17:8:22,72.8,101951.0,33.0
8-12-2022 17:8:37,72.8,101957.0,34.0
8-12-2022 17:8:52,72.8,101953.0,33.0
8-12-2022 17:9:7,72.8,101962.0,33.0
8-12-2022 17:9:22,72.8,101962.0,33.0
8-12-2022 17:9:37,72.8,101955.0,32.0
8-12-2022 17:9:52,72.8,101959.0,32.0
8-12-2022 17:10:7,72.8,101960.0,32.0
8-12-2022 17:10:22,72.8,101958.0,33.0
8-12-2022 17:10:37,72.8,101968.0,33.0
8-12-2022 17:10:52,72.8,101957.0,32.0
8-12-2022 17:11:7,72.8,101960.0,33.0
8-12-2022 17:11:22,72.8,101962.0,33.0
8-12-2022 17:11:37,72.8,101959.0,33.0
8-12-2022 17:11:52,72.7,101965.0,33.0
8-12-2022 17:12:7,72.7,101961.0,33.0
8-12-2022 17:12:22,72.7,101962.0,33.0
8-12-2022 17:12:37,72.7,101973.0,32.0
8-12-2022 17:12:52,72.8,101969.0,33.0
8-12-2022 17:13:7,72.8,101960.0,33.0
8-12-2022 17:13:22,72.8,101958.0,33.0
8-12-2022 17:13:37,72.8,101963.0,33.0
8-12-2022 17:13:52,72.8,101963.0,32.0
8-12-2022 17:14:7,72.7,101960.0,33.0
8-12-2022 17:14:22,72.8,101961.0,32.0
8-12-2022 17:14:37,72.8,101959.0,33.0
8-12-2022 17:14:52,72.8,101965.0,33.0
8-12-2022 17:15:7,72.8,101962.0,33.0
8-12-2022 17:15:23,72.8,101965.0,33.0
8-12-2022 17:15:38,72.8,101965.0,33.0
8-12-2022 17:15:53,72.8,101964.0,33.0
8-12-2022 17:16:8,72.8,101964.0,33.0
8-12-2022 17:16:23,72.8,101960.0,32.0
8-12-2022 17:16:38,72.8,101963.0,33.0
8-12-2022 17:16:53,72.8,101957.0,33.0
8-12-2022 17:17:8,72.8,101961.0,32.0
8-12-2022 17:17:23,72.9,101965.0,33.0
8-12-2022 17:17:38,72.9,101964.0,33.0
8-12-2022 17:17:53,72.9,101956.0,32.0
8-12-2022 17:18:8,72.9,101964.0,33.0
